scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,196.6491241455078,170.3351287841797,0.9501600861549377,200.4384307861328,221.49781799316406,0.9344598650932312,200.2867431640625,262.5383605957031,0.9352782368659973
1,197.29298400878906,171.15548706054688,0.9527973532676697,200.4384307861328,221.51844787597656,0.9296892881393433,200.2867431640625,262.5383605957031,0.9220572113990784
2,197.29298400878906,172.45391845703125,0.9507841467857361,201.0530242919922,221.98829650878906,0.9269313216209412,200.2867431640625,263.3481140136719,0.917670726776123
3,197.29298400878906,172.4871368408203,0.9453760385513306,200.8111572265625,221.98829650878906,0.9419987201690674,200.60977172851562,263.5838928222656,0.9263300895690918
4,196.6491241455078,173.26600646972656,0.9439898133277893,200.4384307861328,222.1609344482422,0.9477502107620239,200.7460479736328,264.5726318359375,0.9405816793441772
5,196.48341369628906,174.3214569091797,0.9440586566925049,200.48826599121094,223.43405151367188,0.9544614553451538,200.47019958496094,264.5726318359375,0.9033437371253967
6,196.48341369628906,174.3214569091797,0.9598650336265564,200.48826599121094,223.43405151367188,0.949505090713501,200.7460479736328,264.8739929199219,0.9029485583305359
7,197.37229919433594,173.89553833007812,0.9595527648925781,200.48826599121094,223.43405151367188,0.9528515934944153,201.078857421875,264.8739929199219,0.911639928817749
8,197.75619506835938,173.89553833007812,0.9527330994606018,200.48826599121094,223.45713806152344,0.9532272815704346,200.89710998535156,264.73248291015625,0.9100769758224487
9,197.76174926757812,172.93017578125,0.9548312425613403,200.5387420654297,223.4195556640625,0.955828070640564,201.078857421875,265.158203125,0.90461266040802
10,197.91531372070312,172.93017578125,0.945455014705658,200.9723358154297,223.36366271972656,0.9569826126098633,201.38055419921875,264.8453063964844,0.9121553897857666
11,198.18081665039062,172.93017578125,0.9500335454940796,201.13259887695312,223.0200653076172,0.953720211982727,201.70912170410156,264.73248291015625,0.9007502794265747
12,198.63580322265625,172.3143310546875,0.9359516501426697,201.90167236328125,222.85372924804688,0.9560256600379944,201.70912170410156,264.7027282714844,0.9136014580726624
13,199.15777587890625,172.3143310546875,0.944642186164856,202.70425415039062,222.85372924804688,0.9548956155776978,202.06361389160156,263.7340393066406,0.9265720844268799
14,199.77845764160156,172.3143310546875,0.9401097893714905,202.7519989013672,222.85372924804688,0.951359748840332,202.14573669433594,263.7340393066406,0.9332623481750488
15,200.63406372070312,172.3143310546875,0.9180036187171936,205.118896484375,223.6439971923828,0.9505862593650818,203.0740966796875,263.7340393066406,0.9188165664672852
16,200.88320922851562,173.20225524902344,0.9279841184616089,205.1699676513672,224.30389404296875,0.9599660038948059,203.25192260742188,264.03387451171875,0.9029929637908936
17,201.28990173339844,173.64364624023438,0.9324901700019836,205.4184112548828,224.56846618652344,0.9629068970680237,203.68280029296875,265.9548034667969,0.9174380898475647
